reward_today,future_reward,delay,key_resp.keys,k,,,
78,80,162,l,0.000158278,,,
67,75,119,l,0.001003386,,GEOMEAN,SQRT
49,60,89,l,0.002522357,,0.015663621,0.015663621
40,55,62,l,0.006048387,,,
27,50,21,t,0.040564374,,,
15,35,13,t,0.102564103,,,
11,30,7,t,0.246753247,,,
